# Height 2D map of mirror JF061004
# measured on three tips placed on the two ends
# physical dimensions: 900x75x75 (l x w x t) (mmxmmxmm)
# clear aperture: 850x20 (mmxmm)
# measured using grazing incidence Fizeau interferometry
# average of 2500
# no other corrections
# 
# x position(m);y position(m);height(m)
# 
-9.27677e-02 -9.74550e-03 4.65556e-08
-9.17426e-02 -9.74550e-03 4.46783e-08
-9.07175e-02 -9.74550e-03 4.53395e-08
-8.96925e-02 -9.74550e-03 4.58873e-08
-8.86674e-02 -9.74550e-03 4.67186e-08
-8.76424e-02 -9.74550e-03 4.76686e-08
-8.66173e-02 -9.74550e-03 4.80650e-08
-8.55923e-02 -9.74550e-03 4.61238e-08
-8.45672e-02 -9.74550e-03 4.70086e-08
-8.35421e-02 -9.74550e-03 4.67835e-08
-8.25171e-02 -9.74550e-03 4.41047e-08
-8.14920e-02 -9.74550e-03 4.26618e-08
-8.04670e-02 -9.74550e-03 4.64720e-08
-7.94419e-02 -9.74550e-03 4.65410e-08
-7.84169e-02 -9.74550e-03 4.88233e-08
-7.73918e-02 -9.74550e-03 4.86635e-08
-7.63667e-02 -9.74550e-03 4.71832e-08
-7.53417e-02 -9.74550e-03 4.88063e-08
-7.43166e-02 -9.74550e-03 4.74240e-08
-7.32916e-02 -9.74550e-03 4.81954e-08
-7.22665e-02 -9.74550e-03 4.99395e-08
-7.12415e-02 -9.74550e-03 4.90500e-08
-7.02164e-02 -9.74550e-03 4.93431e-08
-6.91913e-02 -9.74550e-03 4.93255e-08
-6.81663e-02 -9.74550e-03 5.02586e-08
-6.71412e-02 -9.74550e-03 4.95549e-08
-6.61162e-02 -9.74550e-03 4.96992e-08
-6.50911e-02 -9.74550e-03 5.09309e-08
-6.40661e-02 -9.74550e-03 5.06048e-08
-6.30410e-02 -9.74550e-03 5.00157e-08
-6.20159e-02 -9.74550e-03 5.25270e-08
-6.09909e-02 -9.74550e-03 5.15012e-08
-5.99658e-02 -9.74550e-03 5.18000e-08
-5.89408e-02 -9.74550e-03 5.17820e-08
-5.79157e-02 -9.74550e-03 5.07475e-08
-5.68907e-02 -9.74550e-03 5.00120e-08
-5.58656e-02 -9.74550e-03 5.26456e-08
-5.48405e-02 -9.74550e-03 5.42569e-08
-5.38155e-02 -9.74550e-03 5.32512e-08
-5.27904e-02 -9.74550e-03 5.55169e-08
-5.17654e-02 -9.74550e-03 5.54039e-08
-5.07403e-02 -9.74550e-03 5.24913e-08
-4.97153e-02 -9.74550e-03 5.37552e-08
-4.86902e-02 -9.74550e-03 5.34980e-08
-4.76651e-02 -9.74550e-03 5.26565e-08
-4.66401e-02 -9.74550e-03 5.75924e-08
-4.56150e-02 -9.74550e-03 5.59088e-08
-4.45900e-02 -9.74550e-03 5.47498e-08
-4.35649e-02 -9.74550e-03 5.74632e-08
-4.25399e-02 -9.74550e-03 5.80223e-08
-4.15148e-02 -9.74550e-03 5.62965e-08
-4.04897e-02 -9.74550e-03 5.71973e-08
-3.94647e-02 -9.74550e-03 5.92737e-08
-3.84396e-02 -9.74550e-03 5.69965e-08
-3.74146e-02 -9.74550e-03 5.76123e-08
-3.63895e-02 -9.74550e-03 5.78666e-08
-3.53645e-02 -9.74550e-03 5.74173e-08
-3.43394e-02 -9.74550e-03 5.64858e-08
-3.33144e-02 -9.74550e-03 5.84651e-08
-3.22893e-02 -9.74550e-03 5.89580e-08
-3.12642e-02 -9.74550e-03 5.65940e-08
-3.02392e-02 -9.74550e-03 5.71877e-08
-2.92141e-02 -9.74550e-03 5.75890e-08
-2.81891e-02 -9.74550e-03 5.86250e-08
-2.71640e-02 -9.74550e-03 6.02854e-08
-2.61390e-02 -9.74550e-03 5.68173e-08
-2.51139e-02 -9.74550e-03 5.75296e-08
-2.40888e-02 -9.74550e-03 5.93632e-08
-2.30638e-02 -9.74550e-03 6.11258e-08
-2.20387e-02 -9.74550e-03 5.85926e-08
-2.10137e-02 -9.74550e-03 5.86549e-08
-1.99886e-02 -9.74550e-03 5.88584e-08
-1.89636e-02 -9.74550e-03 6.04132e-08
-1.79385e-02 -9.74550e-03 5.75825e-08
-1.69134e-02 -9.74550e-03 5.90419e-08
-1.58884e-02 -9.74550e-03 5.96265e-08
-1.48633e-02 -9.74550e-03 5.97273e-08
-1.38383e-02 -9.74550e-03 6.19714e-08
-1.28132e-02 -9.74550e-03 6.08168e-08
-1.17882e-02 -9.74550e-03 5.86926e-08
-1.07631e-02 -9.74550e-03 5.93678e-08
-9.73804e-03 -9.74550e-03 5.90746e-08
-8.71298e-03 -9.74550e-03 6.00923e-08
-7.68793e-03 -9.74550e-03 6.08179e-08
-6.66287e-03 -9.74550e-03 6.38445e-08
-5.63781e-03 -9.74550e-03 6.09841e-08
-4.61276e-03 -9.74550e-03 6.22579e-08
-3.58770e-03 -9.74550e-03 6.18112e-08
-2.56264e-03 -9.74550e-03 6.04372e-08
-1.53759e-03 -9.74550e-03 6.34463e-08
-5.12528e-04 -9.74550e-03 6.25165e-08
5.12528e-04 -9.74550e-03 6.03853e-08
1.53759e-03 -9.74550e-03 6.25036e-08
2.56264e-03 -9.74550e-03 6.31476e-08
3.58770e-03 -9.74550e-03 6.33941e-08
4.61276e-03 -9.74550e-03 6.18693e-08
5.63781e-03 -9.74550e-03 5.97056e-08
6.66287e-03 -9.74550e-03 5.98588e-08
7.68793e-03 -9.74550e-03 6.00895e-08
8.71298e-03 -9.74550e-03 6.10743e-08
9.73804e-03 -9.74550e-03 6.03517e-08
1.07631e-02 -9.74550e-03 6.24524e-08
1.17882e-02 -9.74550e-03 6.17344e-08
1.28132e-02 -9.74550e-03 6.14414e-08
1.38383e-02 -9.74550e-03 6.25467e-08
1.48633e-02 -9.74550e-03 6.15161e-08
1.58884e-02 -9.74550e-03 6.06993e-08
1.69134e-02 -9.74550e-03 6.09957e-08
1.79385e-02 -9.74550e-03 6.10730e-08
1.89636e-02 -9.74550e-03 6.14105e-08
1.99886e-02 -9.74550e-03 6.35804e-08
2.10137e-02 -9.74550e-03 6.32497e-08
2.20387e-02 -9.74550e-03 5.96288e-08
2.30638e-02 -9.74550e-03 5.93384e-08
2.40888e-02 -9.74550e-03 5.98208e-08
2.51139e-02 -9.74550e-03 6.01743e-08
2.61390e-02 -9.74550e-03 6.51007e-08
2.71640e-02 -9.74550e-03 6.46184e-08
2.81891e-02 -9.74550e-03 6.15612e-08
2.92141e-02 -9.74550e-03 6.48425e-08
3.02392e-02 -9.74550e-03 6.06689e-08
3.12642e-02 -9.74550e-03 6.08832e-08
3.22893e-02 -9.74550e-03 6.22800e-08
3.33144e-02 -9.74550e-03 6.07487e-08
3.43394e-02 -9.74550e-03 6.03208e-08
3.53645e-02 -9.74550e-03 5.96817e-08
3.63895e-02 -9.74550e-03 5.97721e-08
3.74146e-02 -9.74550e-03 6.21530e-08
3.84396e-02 -9.74550e-03 6.11116e-08
3.94647e-02 -9.74550e-03 6.38748e-08
4.04897e-02 -9.74550e-03 6.08266e-08
4.15148e-02 -9.74550e-03 6.11719e-08
4.25399e-02 -9.74550e-03 6.39391e-08
4.35649e-02 -9.74550e-03 6.29448e-08
4.45900e-02 -9.74550e-03 6.20436e-08
4.56150e-02 -9.74550e-03 6.09848e-08
4.66401e-02 -9.74550e-03 6.08989e-08
4.76651e-02 -9.74550e-03 6.39572e-08
4.86902e-02 -9.74550e-03 6.38064e-08
4.97153e-02 -9.74550e-03 6.16578e-08
5.07403e-02 -9.74550e-03 6.14338e-08
5.17654e-02 -9.74550e-03 6.24478e-08
5.27904e-02 -9.74550e-03 6.17474e-08
5.38155e-02 -9.74550e-03 6.15427e-08
5.48405e-02 -9.74550e-03 6.32662e-08
5.58656e-02 -9.74550e-03 6.22837e-08
5.68907e-02 -9.74550e-03 6.11632e-08
5.79157e-02 -9.74550e-03 6.01721e-08
5.89408e-02 -9.74550e-03 5.85079e-08
5.99658e-02 -9.74550e-03 6.24858e-08
6.09909e-02 -9.74550e-03 6.17493e-08
6.20159e-02 -9.74550e-03 6.32861e-08
6.30410e-02 -9.74550e-03 6.20188e-08
6.40661e-02 -9.74550e-03 5.85088e-08
6.50911e-02 -9.74550e-03 5.96004e-08
6.61162e-02 -9.74550e-03 6.04283e-08
